No;Date;Open;High;Low;Close;Volume
1;Dec 19, 2023;2025.2;2042.7;2025.2;2038.4;100
2;Dec 18, 2023;2024.3;2032.8;2024;2026.3;100
3;Dec 15, 2023;2032.6;2043.4;2018.3;2021.1;261
4;Dec 14, 2023;2024.7;2040.1;2024.3;2030.2;236
5;Dec 13, 2023;1978.5;2024.8;1975;1982.3;2252
6;Dec 12, 2023;1984.2;1994.2;1977.8;1977.8;95
7;Dec 11, 2023;2004.1;2004.2;1977.2;1978;651
8;Dec 08, 2023;2031.7;2033.1;1995;1998.3;449
9;Dec 07, 2023;2029.2;2034.9;2024;2029.9;67
10;Dec 06, 2023;2019.9;2035.8;2019;2030.5;417
11;Dec 05, 2023;2035.1;2037;2010.2;2018.5;289
12;Dec 04, 2023;2075.3;2130.2;2021;2024.1;1071
13;Dec 01, 2023;2038.3;2073.2;2036;2071;614
14;Nov 30, 2023;2046.1;2047.1;2033.1;2038.1;2506
15;Nov 29, 2023;2041.7;2052.1;2036;2047.1;1529
16;Nov 28, 2023;2040.6;2042.7;2039.7;2039.7;174665
17;Nov 27, 2023;2011.7;2011.8;2011.7;2011.8;228
18;Nov 24, 2023;1991.9;2002.2;1991.5;2002.2;63
19;Nov 23, 2023;1991.9;1991.9;1991.5;1991.5;6075
20;Nov 22, 2023;1999.1;1999.4;1991;1991.4;6075
21;Nov 21, 2023;1990.7;2005.5;1988.5;1999.3;16
22;Nov 20, 2023;1978.7;1979.4;1969.7;1977.7;182
23;Nov 17, 2023;1982.5;1984;1979.8;1981.6;32
24;Nov 16, 2023;1965.3;1983.9;1964.6;1983.9;39
25;Nov 15, 2023;1962.8;1962.8;1960;1960.1;6
26;Nov 14, 2023;1965.8;1965.8;1961.8;1961.8;2
27;Nov 13, 2023;1939.9;1947.2;1934;1945.5;191
28;Nov 10, 2023;1959.6;1959.6;1932.6;1932.6;375
29;Nov 09, 2023;1951.7;1964.2;1945.3;1964.2;10
30;Nov 08, 2023;1967.8;1967.8;1947.7;1951.5;43
31;Nov 07, 2023;1966.5;1966.8;1960.7;1966.8;20
32;Nov 06, 2023;1981.6;1981.6;1977.4;1981.6;130
33;Nov 02, 2023;1989;1991.5;1989;1991.5;12
34;Nov 01, 2023;1989.1;1990.3;1979.5;1985.6;39
35;Oct 31, 2023;1990.5;1990.5;1977.8;1978.8;41
36;Oct 30, 2023;1996.5;2001;1983.7;1985.2;84
37;Oct 29, 2023;2004.1;2004.1;1992.5;1996.2;157
38;Oct 26, 2023;1988.6;1988.6;1988.6;1988.6;372
39;Oct 25, 2023;1988.2;1988.2;1980.4;1987.2;521
40;Oct 24, 2023;1971.2;1985.3;1971.2;1984.1;97
41;Oct 23, 2023;1970.3;1975;1970.3;1975;10
42;Oct 22, 2023;1976.2;1978.9;1972.9;1976.3;127
43;Oct 19, 2023;1981.1;1988.6;1980.4;1982.5;557
44;Oct 18, 2023;1950.1;1977.7;1945.7;1968.4;1945
45;Oct 17, 2023;1935;1957.9;1935;1955.3;67
46;Oct 16, 2023;1914.3;1925.8;1914.3;1922.7;103
47;Oct 15, 2023;1910.4;1921.1;1910.3;1921.1;53
48;Oct 12, 2023;1877.5;1930.1;1877.5;1927.4;43
49;Oct 11, 2023;1874.7;1881.2;1867;1869.3;46
50;Oct 10, 2023;1869.5;1874.6;1869.1;1872.8;65
51;Oct 09, 2023;1857;1861.4;1852.8;1861;236
52;Oct 08, 2023;1842.5;1861.5;1842.5;1849.5;232
53;Oct 05, 2023;1819;1831.8;1809.4;1830.2;390
54;Oct 04, 2023;1826.3;1826.3;1815.6;1816.6;393
55;Oct 03, 2023;1821.8;1828.2;1816.4;1818.5;357
56;Oct 02, 2023;1825;1830.9;1816.8;1824.6;310
57;Oct 01, 2023;1844.1;1845.9;1826.7;1830;2309
58;Sep 28, 2023;1864.3;1872.3;1846;1848.1;1605
59;Sep 27, 2023;1875.5;1878.2;1856.7;1860.4;4654
60;Sep 26, 2023;1871.6;1871.6;1871.6;1871.6;12251
61;Sep 25, 2023;1905;1905.1;1900.4;1900.4;161
62;Sep 24, 2023;1916.6;1916.6;1916.6;1916.6;114
63;Sep 21, 2023;1925.4;1925.4;1925.4;1925.4;1
64;Sep 20, 2023;1924;1924;1919.2;1919.2;9
65;Sep 19, 2023;1945.6;1945.6;1929.2;1945.6;119
66;Sep 18, 2023;1934;1934;1932;1932;6
67;Sep 17, 2023;1928.2;1931.5;1926.4;1931.5;19
68;Sep 14, 2023;1923.5;1927.3;1923.5;1923.7;8
69;Sep 13, 2023;1903;1910;1903;1910;169
70;Sep 12, 2023;1910.3;1914.6;1908.9;1909.1;15
71;Sep 11, 2023;1920.8;1920.8;1911.3;1911.3;365
72;Sep 10, 2023;1923;1928.3;1921.8;1923.3;50
73;Sep 07, 2023;1924;1924.7;1918.4;1918.4;105
74;Sep 06, 2023;1917.6;1921.5;1917.5;1917.5;41
75;Sep 05, 2023;1924.1;1925.3;1916.3;1918.1;24
76;Sep 04, 2023;1934.4;1934.4;1924.7;1926.2;113
77;Aug 31, 2023;1950;1950;1936.6;1939.8;167
78;Aug 30, 2023;1944.4;1944.4;1938.2;1938.2;491
79;Aug 29, 2023;1936;1946.4;1934.6;1944.3;396
80;Aug 28, 2023;1917.9;1936.5;1916.9;1936.5;1674
81;Aug 27, 2023;1915.5;1921.5;1915.5;1917.9;99
82;Aug 24, 2023;1919.8;1919.8;1911.1;1911.1;195
83;Aug 23, 2023;1920;1920.8;1918.2;1918.2;337
84;Aug 22, 2023;1909.6;1918.5;1909.6;1918.5;547
85;Aug 21, 2023;1894.6;1896.8;1892.8;1896.4;46
86;Aug 20, 2023;1893.6;1893.6;1893.3;1893.3;876
