No;Date;Open;High;Low;Close;Volume;;;
1;Jan 04, 2021;1912,2;1945,1;1912,2;1944,7;154;;;
2;Jan 05, 2021;1941,7;1952,7;1941,3;1952,7;113;;;
3;Jan 06, 2021;1952;1959,9;1901,5;1906,9;331;;;
4;Jan 07, 2021;1922,6;1926,7;1912;1912,3;122;;;
5;Jan 08, 2021;1908;1908;1834,1;1834,1;60;;;
6;Jan 11, 2021;1826,5;1849,6;1826,5;1849,6;20;;;
7;Jan 12, 2021;1849;1859,7;1839,4;1842,9;176;;;
8;Jan 13, 2021;1858;1858,6;1853,6;1853,6;189;;;
9;Jan 14, 2021;1836,7;1850,7;1836,7;1850,3;149;;;
10;Jan 15, 2021;1829,4;1829,4;1825;1829,3;31;;;
11;Jan 19, 2021;1802;1842,9;1802;1839,5;13;;;
12;Jan 20, 2021;1847,8;1866,6;1844,4;1865,9;16;;;
13;Jan 21, 2021;1865,3;1868;1865,3;1865,3;6;;;
14;Jan 22, 2021;1854,9;1855,7;1852,7;1855,7;8;;;
15;Jan 25, 2021;1864,7;1864,7;1851,8;1854,9;26;;;
16;Jan 26, 2021;1855,8;1855,8;1850,7;1850,7;59;;;
17;Jan 27, 2021;1844,9;1844,9;1844,9;1844,9;19554;;;
18;Jan 28, 2021;1843,4;1862,9;1831,5;1837,9;27283;;;
19;Jan 29, 2021;1842;1876;1838,7;1847,3;1634;;;
20;Feb 01, 2021;1866,6;1871,9;1850;1860,8;1494;;;
21;Feb 02, 2021;1859,6;1861,3;1827,6;1830,5;1293;;;
22;Feb 03, 2021;1834,8;1842,4;1829,8;1832,2;1195;;;
23;Feb 04, 2021;1832,2;1832,2;1782,8;1788,9;2375;;;
24;Feb 05, 2021;1794,3;1813,5;1790,9;1810,9;1278;;;
25;Feb 08, 2021;1816,3;1836,7;1809;1831,9;254;;;
26;Feb 09, 2021;1841,9;1843,3;1830,7;1835,3;184;;;
27;Feb 10, 2021;1842,6;1851,1;1837;1840,6;543;;;
28;Feb 11, 2021;1840,5;1845;1820,9;1824,9;602;;;
29;Feb 12, 2021;1825;1827,5;1809,2;1821,6;259;;;
30;Feb 16, 2021;1820,9;1823,4;1787,3;1797,2;1141;;;
31;Feb 17, 2021;1785,8;1789,7;1768,8;1771,1;614;;;
32;Feb 18, 2021;1776,1;1784,6;1766;1773,4;587;;;
33;Feb 19, 2021;1764,3;1787,6;1764,3;1775,8;118;;;
34;Feb 22, 2021;1784;1807,8;1784;1806,7;165;;;
35;Feb 23, 2021;1809,6;1811,3;1796,4;1804,4;569;;;
36;Feb 24, 2021;1805,8;1805,8;1796,4;1796,4;15;;;
37;Feb 25, 2021;1801,5;1802;1766,7;1774,4;1049;;;
38;Feb 26, 2021;1768,1;1768,2;1718,8;1728,1;1593;;;
39;Mar 01, 2021;1737,1;1747;1720,3;1722,5;407;;;
40;Mar 02, 2021;1709,4;1733,1;1708,7;1733,1;867;;;
41;Mar 03, 2021;1730;1732,4;1703,5;1715,3;501;;;
42;Mar 04, 2021;1706,5;1717,4;1700,2;1700,2;521;;;
43;Mar 05, 2021;1690,6;1701;1685;1698;302;;;
44;Mar 08, 2021;1704,7;1705,4;1673,7;1677,7;129;;;
45;Mar 09, 2021;1686,2;1717,5;1685,2;1716,6;335;;;
46;Mar 10, 2021;1713,6;1722,9;1711;1721,5;412;;;
47;Mar 11, 2021;1725,6;1737,5;1720,2;1722,3;18;;;
48;Mar 12, 2021;1715,9;1722,5;1699;1719,5;80;;;
49;Mar 14, 2021;1729,5;1731,9;1722,8;1728,9;147;;;
50;Mar 15, 2021;1732,3;1733,9;1726;1730,6;729;;;
51;Mar 16, 2021;1735,3;1750,1;1725,6;1726,8;488;;;
52;Mar 17, 2021;1745,8;1750,3;1721,8;1732,2;138;;;
53;Mar 18, 2021;1742,2;1742,2;1733,6;1741,4;13;;;
