"""Tanggal"",""Terakhir"",""Pembukaan"",""Tertinggi"",""Terendah"",""Vol."",""Perubahan%"""
"""43551"",""1309,87"",""1315,81"",""1319,57"",""1308,07"","""",""-0,0043"""
"""43552"",""1290,55"",""1309,85"",""1312,63"",""1288,7"","""",""-0,0147"""
"""43553"",""1292,15"",""1290,14"",""1299,82"",""1286,6"","""",""0,0012"""
"""43556"",""1287,66"",""1291,33"",""1297,04"",""1286,5"","""",""-0,0035"""
"""43557"",""1293,15"",""1287,55"",""1293,15"",""1285,16"","""",""0,0043"""
"""43558"",""1289,9"",""1292,21"",""1294,67"",""1288,2"","""",""-0,0025"""
"""43559"",""1292,38"",""1289,95"",""1294,36"",""1280,84"","""",""0,0019"""
"""43560"",""1291,7"",""1292,46"",""1293,77"",""1284,46"","""",""-0,0005"""
"""43563"",""1297,41"",""1291,65"",""1303,86"",""1291,35"","""",""0,0044"""
"""43564"",""1304,13"",""1297,24"",""1306,34"",""1296,55"","""",""0,0052"""
"""43565"",""1308,05"",""1303,96"",""1310,75"",""1300,89"","""",""0,003"""
"""43566"",""1292,6"",""1307,95"",""1309,36"",""1289,45"","""",""-0,0118"""
"""43567"",""1290,4"",""1292,3"",""1296,05"",""1290,11"","""",""-0,0017"""
"""43570"",""1287,88"",""1290,45"",""1292,01"",""1282,21"","""",""-0,002"""
"""43571"",""1276,57"",""1287,91"",""1289"",""1273,1"","""",""-0,0088"""
"""43572"",""1274,14"",""1276,86"",""1280,06"",""1272,93"","""",""-0,0019"""
"""43573"",""1275,39"",""1273,38"",""1277,95"",""1271,02"","""",""0,001"""
"""43577"",""1274,92"",""1275,83"",""1279,96"",""1273,45"","""",""-0,0004"""
"""43578"",""1272,4"",""1275,26"",""1276,66"",""1266,15"","""",""-0,002"""
"""43579"",""1275,36"",""1272,31"",""1278,74"",""1268,55"","""",""0,0023"""
"""43580"",""1277,35"",""1275,6"",""1282,78"",""1273,5"","""",""0,0016"""
"""43581"",""1286,25"",""1277,42"",""1288,99"",""1276,05"","""",""0,007"""
"""43584"",""1279,8"",""1286,4"",""1286,81"",""1277,78"","""",""-0,005"""
"""43585"",""1283,6"",""1279,98"",""1286,39"",""1279,54"","""",""0,003"""
"""43586"",""1276,61"",""1283,46"",""1287,21"",""1272,99"","""",""-0,0054"""
"""43587"",""1270,54"",""1276,81"",""1278,18"",""1266,1"","""",""-0,0048"""
"""43588"",""1279,19"",""1270,61"",""1282,67"",""1268,81"","""",""0,0068"""
"""43591"",""1280,33"",""1281,06"",""1285,76"",""1276,6"","""",""0,0009"""
"""43592"",""1285,15"",""1281,55"",""1286,74"",""1278,5"","""",""0,0038"""
"""43593"",""1280,93"",""1284,16"",""1291,79"",""1279,35"","""",""-0,0033"""
"""43594"",""1284,14"",""1280,49"",""1288,52"",""1279,41"","""",""0,0025"""
"""43595"",""1286"",""1284,36"",""1289,73"",""1283,21"","""",""0,0014"""
"""43598"",""1299,9"",""1286,56"",""1301,35"",""1281,6"","""",""0,0108"""
"""43599"",""1297,03"",""1300,11"",""1303,51"",""1293,33"","""",""-0,0022"""
"""43600"",""1296,66"",""1297,17"",""1301,02"",""1292,7"","""",""-0,0003"""
"""43601"",""1286,65"",""1296,75"",""1298,92"",""1283,95"","""",""-0,0077"""
"""43602"",""1277,55"",""1286,5"",""1289,29"",""1274,91"","""",""-0,0071"""
"""43605"",""1277,74"",""1277,8"",""1279,14"",""1273,47"","""",""0,0001"""
"""43606"",""1274,97"",""1277,95"",""1278,06"",""1269,22"","""",""-0,0022"""
"""43607"",""1273,62"",""1274,61"",""1277,42"",""1272,15"","""",""-0,0011"""
"""43608"",""1283,45"",""1273,8"",""1287,63"",""1272,58"","""",""0,0077"""
"""43609"",""1284,89"",""1283,4"",""1285,42"",""1280,45"","""",""0,0011"""
"""43612"",""1285,2"",""1285,8"",""1287,72"",""1283,8"","""",""0,0002"""
"""43613"",""1279,49"",""1285,59"",""1286,86"",""1276,07"","""",""-0,0044"""
"""43614"",""1279,6"",""1279,71"",""1285,77"",""1278,87"","""",""0,0001"""
"""43615"",""1288,85"",""1279,71"",""1289,22"",""1274,79"","""",""0,0072"""
"""43616"",""1305,65"",""1288,35"",""1307,04"",""1288,09"","""",""0,013"""
"""43619"",""1325,17"",""1307,55"",""1328,3"",""1306,7"","""",""0,015"""
"""43620"",""1325,28"",""1325,05"",""1329,38"",""1319,98"","""",""0,0001"""
"""43621"",""1330,18"",""1325,5"",""1344,26"",""1324,6"","""",""0,0037"""
"""43622"",""1335,55"",""1332,36"",""1340,43"",""1327,8"","""",""0,004"""
"""43623"",""1340,7"",""1335,6"",""1348,48"",""1330,08"","""",""0,0039"""
"""43626"",""1328,13"",""1335,96"",""1337,84"",""1324,9"","""",""-0,0094"""
"""43627"",""1326,91"",""1328,26"",""1330,06"",""1319,6"","""",""-0,0009"""
"""43628"",""1333,55"",""1326,78"",""1338,62"",""1326,18"","""",""0,005"""
"""43629"",""1342,35"",""1334"",""1343,43"",""1332,27"","""",""0,0066"""
"""43630"",""1341,58"",""1341,55"",""1358,29"",""1337,83"","""",""-0,0006"""
"""43633"",""1339,54"",""1341,91"",""1343,38"",""1332,7"","""",""-0,0015"""
"""43634"",""1346,48"",""1340,09"",""1354,6"",""1338,65"","""",""0,0052"""
"""43635"",""1360,27"",""1346,56"",""1362,5"",""1341,15"","""",""0,0102"""
"""43636"",""1388,18"",""1360,36"",""1393,24"",""1357,8"","""",""0,0205"""
"""43637"",""1399,05"",""1388,22"",""1411,18"",""1382,4"","""",""0,0078"""
"""43640"",""1419,55"",""1401,35"",""1421,3"",""1400,48"","""",""0,0147"""
"""43641"",""1423,25"",""1419,17"",""1439,03"",""1412,3"","""",""0,0026"""
"""43642"",""1408,75"",""1423,91"",""1424,06"",""1402,38"","""",""-0,0102"""
"""43643"",""1409,68"",""1409,56"",""1412"",""1400,25"","""",""0,0007"""
"""43644"",""1409,5"",""1409,56"",""1424,64"",""1406,81"","""",""-0,0001"""
"""43647"",""1384,31"",""1392,83"",""1397,56"",""1381,76"","""",""-0,0179"""
"""43648"",""1418,44"",""1383,4"",""1419,72"",""1383,4"","""",""0,0247"""
"""43649"",""1418,94"",""1419,95"",""1436,39"",""1412,48"","""",""0,0004"""
"""43650"",""1415,64"",""1419,8"",""1422"",""1410,59"","""",""-0,0023"""
"""43651"",""1399,95"",""1415,81"",""1424,36"",""1386,92"","""",""-0,0111"""
"""43654"",""1395,5"",""1399,95"",""1407,9"",""1391,75"","""",""-0,0032"""
"""43655"",""1397,9"",""1395,3"",""1399,9"",""1386,21"","""",""0,0017"""
"""43656"",""1419"",""1397,8"",""1419,2"",""1389,75"","""",""0,0151"""
"""43657"",""1404"",""1419,4"",""1426,4"",""1401,6"","""",""-0,0106"""
"""43658"",""1415,74"",""1403,85"",""1416,88"",""1403,06"","""",""0,0084"""
"""43661"",""1414,08"",""1415,9"",""1419,75"",""1407,76"","""",""-0,0012"""
"""43662"",""1406,33"",""1414,69"",""1418,43"",""1401,18"","""",""-0,0055"""
"""43663"",""1426,8"",""1406,41"",""1427"",""1399,95"","""",""0,0146"""
"""43664"",""1446,3"",""1426,9"",""1448,3"",""1414,66"","""",""0,0137"""
"""43665"",""1425,3"",""1446,38"",""1452,98"",""1420,29"","""",""-0,0145"""
"""43668"",""1425,12"",""1425,15"",""1429,83"",""1422,35"","""",""-0,0001"""
"""43669"",""1417,39"",""1425,15"",""1429,25"",""1414,2"","""",""-0,0054"""
"""43670"",""1425,9"",""1417,26"",""1429,3"",""1416,2"","""",""0,006"""
"""43671"",""1414,53"",""1426,6"",""1433,86"",""1411,17"","""",""-0,008"""
"""43672"",""1418,69"",""1414,59"",""1424,8"",""1413,77"","""",""0,0029"""
"""43675"",""1426,94"",""1419,04"",""1428,25"",""1416,86"","""",""0,0058"""
"""43676"",""1430,85"",""1426,71"",""1433,03"",""1421,91"","""",""0,0027"""
"""43677"",""1413,8"",""1430,91"",""1432,94"",""1411,35"","""",""-0,0119"""
"""43678"",""1445,31"",""1411,21"",""1445,81"",""1400,56"","""",""0,0223"""
"""43679"",""1440,7"",""1445,66"",""1448,05"",""1430,08"","""",""-0,0032"""
"""43682"",""1463,8"",""1440,6"",""1469,8"",""1436,9"","""",""0,016"""
"""43683"",""1474,27"",""1464,2"",""1475,21"",""1456,65"","""",""0,0072"""
"""43684"",""1501,2"",""1474,25"",""1510,4"",""1472,36"","""",""0,0183"""
"""43685"",""1500,95"",""1501,95"",""1510,35"",""1490,74"","""",""-0,0002"""
"""43686"",""1497,24"",""1501,4"",""1508,4"",""1494,62"","""",""-0,0025"""
"""43689"",""1511,4"",""1497,51"",""1517,71"",""1487,68"","""",""0,0095"""
"""43690"",""1501,39"",""1510,61"",""1534,56"",""1481,31"","""",""-0,0066"""
"""43691"",""1516,34"",""1501,38"",""1524,1"",""1494,25"","""",""0,01"""
"""43692"",""1523,2"",""1516,74"",""1526,76"",""1508,25"","""",""0,0045"""
"""43693"",""1514,15"",""1524"",""1527,8"",""1504,2"","""",""-0,0059"""
"""43696"",""1495,3"",""1511"",""1512,9"",""1492,4"","""",""-0,0124"""
"""43697"",""1507,1"",""1495,55"",""1508,39"",""1492,75"","""",""0,0079"""
"""43698"",""1502,3"",""1507,7"",""1508,4"",""1496,1"","""",""-0,0032"""
"""43699"",""1498,8"",""1502,1"",""1504,6"",""1491,7"","""",""-0,0023"""
"""43700"",""1526,85"",""1499,55"",""1530,43"",""1493,45"","""",""0,0187"""
"""43703"",""1526,35"",""1539,25"",""1554,91"",""1524,55"","""",""-0,0003"""
"""43704"",""1542,64"",""1526,25"",""1544,63"",""1524,75"","""",""0,0107"""
"""43705"",""1539,1"",""1541,69"",""1547,1"",""1531,5"","""",""-0,0023"""
"""43706"",""1527,7"",""1539,2"",""1550,7"",""1519,4"","""",""-0,0074"""
"""43707"",""1520,25"",""1527,6"",""1533,4"",""1517,51"","""",""-0,0049"""
"""43710"",""1530,59"",""1520,05"",""1533,77"",""1519,05"","""",""0,0068"""
"""43711"",""1547"",""1529,6"",""1549,8"",""1521,4"","""",""0,0107"""
"""43712"",""1552,6"",""1547,05"",""1557,25"",""1533,68"","""",""0,0036"""
"""43713"",""1519,35"",""1552,45"",""1553,25"",""1509,28"","""",""-0,0214"""
"""43714"",""1506,95"",""1519,25"",""1527,7"",""1502,75"","""",""-0,0082"""
"""43717"",""1498,95"",""1507,1"",""1515,5"",""1497,6"","""",""-0,0053"""
"""43718"",""1486,4"",""1499,6"",""1501,9"",""1484,8"","""",""-0,0084"""
"""43719"",""1497,6"",""1486,45"",""1498,41"",""1484,9"","""",""0,0075"""
"""43720"",""1498,95"",""1497,45"",""1523,86"",""1488,65"","""",""0,0009"""
"""43721"",""1488,7"",""1498,45"",""1509,06"",""1485,51"","""",""-0,0068"""
"""43724"",""1498,8"",""1503,59"",""1512,81"",""1496,2"","""",""0,0068"""
"""43725"",""1503,1"",""1499,45"",""1507,9"",""1493,9"","""",""0,0029"""
"""43726"",""1493,9"",""1501,4"",""1511,25"",""1484,41"","""",""-0,0061"""
"""43727"",""1499,2"",""1493,6"",""1504,2"",""1488,8"","""",""0,0035"""
"""43728"",""1517,15"",""1499,6"",""1517,21"",""1498"","""",""0,012"""
"""43731"",""1522,12"",""1516,65"",""1527,05"",""1511,35"","""",""0,0033"""
"""43732"",""1532,3"",""1522,5"",""1536,1"",""1515,95"","""",""0,0067"""
"""43733"",""1504,15"",""1531,6"",""1535,4"",""1501,41"","""",""-0,0184"""
"""43734"",""1505,8"",""1503,89"",""1512,6"",""1501,74"","""",""0,0011"""
"""43735"",""1496,94"",""1506,18"",""1507,79"",""1486,98"","""",""-0,0059"""
"""43738"",""1472,25"",""1497,08"",""1500,5"",""1464,24"","""",""-0,0165"""
"""43739"",""1478,98"",""1472,3"",""1487,42"",""1458,9"","""",""0,0046"""
"""43740"",""1499,51"",""1479,19"",""1504,98"",""1474,25"","""",""0,0139"""
"""43741"",""1505"",""1499,55"",""1518,75"",""1495,85"","""",""0,0037"""
"""43742"",""1504,6"",""1505,19"",""1510,94"",""1497,01"","""",""-0,0003"""
"""43745"",""1493,6"",""1504,76"",""1509,47"",""1489,94"","""",""-0,0073"""
"""43746"",""1505,51"",""1493,4"",""1508,56"",""1487,49"","""",""0,008"""
"""43747"",""1505,7"",""1506,06"",""1511,6"",""1499,7"","""",""0,0001"""
"""43748"",""1494,3"",""1505,6"",""1517,07"",""1491,4"","""",""-0,0076"""
